userId,movieId,rating,timestamp,genres,tag
1,1,4.0,964982703,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",[]
1,3,4.0,964981247,"['Comedy', 'Romance']",[]
1,6,4.0,964982224,"['Action', 'Crime', 'Thriller']",[]
1,70,3.0,964982400,"['Action', 'Comedy', 'Horror', 'Thriller']",[]
1,101,5.0,964980868,"['Adventure', 'Comedy', 'Crime', 'Romance']",[]
1,110,4.0,964982176,"['Action', 'Drama', 'War']",[]
1,163,5.0,964983650,"['Action', 'Romance', 'Western']",[]
1,216,5.0,964981208,['Comedy'],[]
1,223,3.0,964980985,['Comedy'],[]
1,235,4.0,964980908,"['Comedy', 'Drama']",[]
1,296,3.0,964982967,"['Comedy', 'Crime', 'Drama', 'Thriller']",[]
1,316,3.0,964982310,"['Action', 'Adventure', 'Sci-Fi']",[]
1,333,5.0,964981179,['Comedy'],[]
1,349,4.0,964982563,"['Action', 'Crime', 'Drama', 'Thriller']",[]
1,356,4.0,964980962,"['Comedy', 'Drama', 'Romance', 'War']",[]
1,441,4.0,964980868,['Comedy'],[]
1,480,4.0,964982346,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[]
1,527,5.0,964984002,"['Drama', 'War']",[]
1,590,4.0,964982546,"['Adventure', 'Drama', 'Western']",[]
1,592,4.0,964982271,"['Action', 'Crime', 'Thriller']",[]
1,596,5.0,964982838,"['Animation', 'Children', 'Fantasy', 'Musical']",[]
1,608,5.0,964982931,"['Comedy', 'Crime', 'Drama', 'Thriller']",[]
1,648,3.0,964982563,"['Action', 'Adventure', 'Mystery', 'Thriller']",[]
1,661,5.0,964982838,"['Adventure', 'Animation', 'Children', 'Fantasy', 'Musical']",[]
1,673,3.0,964981775,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']",[]
1,736,3.0,964982653,"['Action', 'Adventure', 'Romance', 'Thriller']",[]
1,804,4.0,964980499,"['Comedy', 'Romance']",[]
1,923,5.0,964981529,"['Drama', 'Mystery']",[]
1,954,5.0,964983219,['Drama'],[]
1,1029,5.0,964982855,"['Animation', 'Children', 'Drama', 'Musical']",[]
1,1030,3.0,964982903,"['Adventure', 'Animation', 'Children', 'Musical']",[]
1,1031,5.0,964982653,"['Adventure', 'Children', 'Musical']",[]
1,1032,5.0,964982791,"['Adventure', 'Animation', 'Children', 'Fantasy', 'Musical']",[]
1,1042,4.0,964981179,"['Comedy', 'Drama']",[]
1,1060,4.0,964980924,"['Comedy', 'Drama']",[]
1,1073,5.0,964981680,"['Children', 'Comedy', 'Fantasy', 'Musical']",[]
1,1089,5.0,964982951,"['Crime', 'Mystery', 'Thriller']",[]
1,1090,4.0,964984018,"['Drama', 'War']",[]
1,1136,5.0,964981327,"['Adventure', 'Comedy', 'Fantasy']",[]
1,1208,4.0,964983250,"['Action', 'Drama', 'War']",[]
1,1214,4.0,964981855,"['Horror', 'Sci-Fi']",[]
1,1219,2.0,964983393,"['Crime', 'Horror']",[]
1,1222,5.0,964981909,"['Drama', 'War']",[]
1,1224,5.0,964984018,"['Action', 'Drama', 'Romance', 'War']",[]
1,1256,5.0,964981442,"['Comedy', 'Musical', 'War']",[]
1,1265,4.0,964983599,"['Comedy', 'Fantasy', 'Romance']",[]
